datetime,nb_ip,avg_time_interval,nb_logon,nb_event_categories,nb_domain,nb_fail_logon,nb_programs
2009-08-19,1.0,0.0,242.0,3.0,1.0,1.0,4.0
2009-08-20,1.0,0.0,241.0,2.0,0.0,1.0,4.0
2009-08-21,1.0,0.0,241.0,4.0,2.0,1.0,5.0
2009-08-22,1.0,0.0,241.0,5.0,3.0,2.0,6.0
2009-08-23,1.0,0.0,242.0,3.0,1.0,1.0,5.0
2009-08-24,1.0,0.0,241.0,4.0,2.0,1.0,6.0
2009-08-25,1.0,0.0,242.0,3.0,1.0,1.0,4.0
2009-08-26,1.0,0.0,242.0,3.0,1.0,1.0,5.0
2009-08-27,1.0,0.0,242.0,2.0,0.0,0.0,3.0
2009-08-28,1.0,0.0,241.0,3.0,1.0,1.0,5.0
2009-08-29,1.0,0.0,241.0,4.0,1.0,1.0,8.0
2009-08-30,1.0,0.0,241.0,5.0,2.0,1.0,7.0
2009-08-31,1.0,0.0,239.0,4.0,1.0,0.0,7.0
2009-09-01,1.0,0.0,241.0,3.0,0.0,0.0,4.0
2009-09-02,1.0,0.0,242.0,4.0,1.0,0.0,7.0
2009-09-03,1.0,0.0,241.0,4.0,2.0,2.0,3.0
2009-09-04,1.0,0.0,242.0,3.0,0.0,0.0,6.0
2009-09-05,1.0,0.0,241.0,5.0,2.0,2.0,7.0
2009-09-06,1.0,0.0,242.0,4.0,1.0,0.0,6.0
2009-09-07,1.0,0.0,242.0,4.0,2.0,0.0,6.0
2009-09-08,1.0,0.0,241.0,3.0,1.0,0.0,6.0
2009-09-09,1.0,0.0,241.0,4.0,1.0,3.0,7.0
2009-09-10,1.0,0.0,241.0,3.0,1.0,0.0,5.0
2009-09-11,1.0,0.0,241.0,4.0,0.0,0.0,8.0
2009-09-12,1.0,0.0,241.0,6.0,7.0,1.0,9.0
2009-09-13,1.0,0.0,240.0,5.0,3.0,0.0,7.0
2009-09-14,1.0,0.0,241.0,5.0,2.0,0.0,6.0
2009-09-15,1.0,0.0,241.0,4.0,1.0,0.0,6.0
2009-09-16,1.0,0.0,240.0,5.0,1.0,2.0,9.0
2009-09-17,1.0,0.0,241.0,4.0,0.0,0.0,7.0
2009-09-18,1.0,0.0,241.0,4.0,1.0,0.0,6.0
2009-09-19,1.0,0.0,240.0,6.0,1.0,3.0,10.0
2009-09-20,1.0,0.0,241.0,6.0,3.0,2.0,8.0
2009-09-21,1.0,0.0,241.0,4.0,1.0,0.0,8.0
2009-09-22,1.0,0.0,241.0,4.0,1.0,0.0,6.0
2009-09-23,1.0,0.0,241.0,5.0,1.0,1.0,9.0
2009-09-24,1.0,0.0,240.0,4.0,1.0,0.0,7.0
2009-09-25,1.0,0.0,241.0,3.0,0.0,0.0,7.0
2009-09-26,1.0,0.0,241.0,5.0,1.0,0.0,10.0
2009-09-27,1.0,0.0,241.0,4.0,1.0,3.0,6.0
2009-09-28,1.0,0.0,242.0,4.0,0.0,0.0,7.0
2009-09-29,1.0,0.0,241.0,3.0,1.0,0.0,5.0
2009-09-30,1.0,0.0,241.0,5.0,1.0,6.0,6.0
2009-10-01,1.0,0.0,242.0,4.0,1.0,0.0,7.0
2009-10-02,1.0,0.0,241.0,3.0,0.0,0.0,7.0
2009-10-03,1.0,0.0,241.0,5.0,3.0,1.0,10.0
2009-10-04,1.0,0.0,241.0,5.0,2.0,2.0,6.0
2009-10-05,1.0,0.0,241.0,4.0,1.0,0.0,6.0
2009-10-06,1.0,0.0,241.0,4.0,0.0,0.0,6.0
2009-10-07,1.0,0.0,241.0,5.0,1.0,3.0,7.0
2009-10-08,1.0,0.0,241.0,5.0,1.0,0.0,8.0
2009-10-09,1.0,0.0,241.0,4.0,0.0,0.0,7.0
2009-10-10,1.0,0.0,240.0,6.0,3.0,0.0,10.0
2009-10-11,1.0,0.0,241.0,6.0,3.0,4.0,6.0
2009-10-12,1.0,0.0,240.0,4.0,1.0,0.0,7.0
2009-10-13,1.0,0.0,240.0,4.0,1.0,0.0,7.0
2009-10-14,1.0,0.0,240.0,5.0,1.0,2.0,7.0
2009-10-15,1.0,0.0,241.0,4.0,1.0,0.0,7.0
2009-10-16,1.0,0.0,240.0,4.0,0.0,0.0,8.0
2009-10-17,2.0,0.0,239.0,8.0,4.0,3.0,13.0
2009-10-18,1.0,0.0,241.0,5.0,0.0,0.0,8.0
2009-10-19,1.0,0.0,242.0,4.0,1.0,0.0,6.0
2009-10-20,1.0,0.0,243.0,5.0,1.0,0.0,8.0
2009-10-21,1.0,0.0,242.0,6.0,1.0,4.0,6.0
2009-10-22,1.0,0.0,242.0,4.0,0.0,0.0,8.0
2009-10-23,1.0,0.0,241.0,5.0,2.0,0.0,8.0
2009-10-24,2.0,0.0,240.0,8.0,4.0,0.0,11.0
2009-10-25,2.0,0.0,240.0,7.0,2.0,4.0,10.0
2009-10-26,1.0,0.0,242.0,3.0,0.0,0.0,4.0
2009-10-27,1.0,0.0,241.0,3.0,0.0,0.0,6.0
2009-10-28,1.0,0.0,241.0,4.0,1.0,0.0,6.0
2009-10-29,1.0,0.0,240.0,6.0,1.0,3.0,4.0
2009-10-30,1.0,0.0,241.0,4.0,1.0,1.0,6.0
2009-10-31,1.0,0.0,241.0,5.0,1.0,2.0,10.0
2009-11-01,1.0,0.0,241.0,5.0,1.0,0.0,8.0
2009-11-02,1.0,0.0,241.0,4.0,1.0,0.0,5.0
2009-11-03,2.0,0.0,241.0,7.0,1.0,3.0,6.0
2009-11-04,1.0,0.0,242.0,5.0,1.0,3.0,9.0
2009-11-05,1.0,0.0,242.0,5.0,1.0,0.0,7.0
2009-11-06,1.0,0.0,243.0,4.0,0.0,0.0,8.0
2009-11-07,1.0,0.0,242.0,5.0,2.0,0.0,7.0
2009-11-08,2.0,0.0,243.0,7.0,3.0,1.0,10.0
2009-11-09,1.0,0.0,244.0,4.0,1.0,0.0,5.0
2009-11-10,1.0,0.0,243.0,5.0,1.0,0.0,8.0
2009-11-11,1.0,0.0,242.0,6.0,2.0,4.0,8.0
2009-11-12,1.0,0.0,242.0,4.0,1.0,0.0,7.0
2009-11-13,1.0,0.0,241.0,4.0,1.0,0.0,6.0
2009-11-14,2.0,0.0,240.0,7.0,3.0,2.0,13.0
2009-11-15,1.0,0.0,240.0,6.0,1.0,4.0,7.0
2009-11-16,1.0,0.0,242.0,4.0,1.0,0.0,6.0
2009-11-17,1.0,0.0,243.0,5.0,0.0,0.0,8.0
2009-11-18,2.0,0.0,241.0,8.0,4.0,5.0,10.0
2009-11-19,1.0,0.0,243.0,4.0,0.0,0.0,8.0
2009-11-20,1.0,0.0,242.0,6.0,1.0,0.0,9.0
2009-11-21,2.0,0.0,241.0,7.0,4.0,1.0,9.0
2009-11-22,2.0,0.0,241.0,7.0,5.0,0.0,11.0
2009-11-23,1.0,0.0,243.0,4.0,0.0,0.0,6.0
2009-11-24,1.0,0.0,242.0,6.0,2.0,3.0,6.0
2009-11-25,1.0,0.0,241.0,6.0,1.0,4.0,7.0
2009-11-26,1.0,0.0,243.0,5.0,2.0,0.0,7.0
2009-11-27,1.0,0.0,242.0,4.0,0.0,0.0,8.0
2009-11-28,1.0,0.0,242.0,5.0,2.0,0.0,10.0
2009-11-29,1.0,0.0,243.0,5.0,1.0,2.0,5.0
2009-11-30,1.0,0.0,244.0,5.0,1.0,0.0,8.0
2009-12-01,1.0,0.0,243.0,5.0,0.0,0.0,8.0
2009-12-02,2.0,0.0,242.0,7.0,1.0,5.0,9.0
2009-12-03,1.0,0.0,243.0,4.0,1.0,0.0,7.0
2009-12-04,1.0,0.0,243.0,5.0,1.0,0.0,6.0
2009-12-05,2.0,0.0,241.0,7.0,3.0,0.0,9.0
2009-12-06,2.0,0.0,241.0,7.0,2.0,3.0,9.0
2009-12-07,1.0,0.0,243.0,5.0,1.0,0.0,7.0
2009-12-08,1.0,0.0,244.0,6.0,1.0,0.0,11.0
2009-12-09,1.0,0.0,242.0,5.0,1.0,2.0,6.0
2009-12-10,1.0,0.0,242.0,6.0,2.0,0.0,11.0
2009-12-11,1.0,0.0,244.0,5.0,1.0,0.0,8.0
2009-12-12,1.0,0.0,245.0,5.0,1.0,3.0,6.0
2009-12-13,1.0,0.0,244.0,6.0,3.0,0.0,9.0
2009-12-14,1.0,0.0,246.0,5.0,1.0,2.0,7.0
2009-12-15,1.0,0.0,246.0,6.0,1.0,0.0,10.0
2009-12-16,1.0,0.0,247.0,4.0,1.0,2.0,6.0
2009-12-17,1.0,0.0,247.0,5.0,0.0,0.0,10.0
2009-12-18,1.0,0.0,247.0,5.0,1.0,0.0,8.0
2009-12-19,2.0,0.0,246.0,6.0,1.0,2.0,10.0
2009-12-20,1.0,0.0,247.0,3.0,1.0,0.0,5.0
2009-12-21,1.0,0.0,246.0,6.0,2.0,0.0,8.0
2009-12-22,1.0,0.0,246.0,5.0,0.0,0.0,11.0
2009-12-23,1.0,0.0,247.0,4.0,1.0,0.0,8.0
2009-12-24,2.0,0.0,246.0,8.0,4.0,4.0,11.0
2009-12-25,1.0,0.0,244.0,6.0,2.0,3.0,10.0
2009-12-26,2.0,0.0,242.0,6.0,1.0,3.0,11.0
2009-12-27,2.0,0.0,243.0,6.0,3.0,0.0,9.0
2009-12-28,1.0,0.0,244.0,6.0,2.0,1.0,10.0
2009-12-29,1.0,0.0,243.0,6.0,1.0,0.0,7.0
2009-12-30,2.0,0.0,241.0,7.0,4.0,3.0,9.0
2009-12-31,2.0,0.0,241.0,6.0,0.0,0.0,13.0
2010-01-01,1.0,0.0,243.0,4.0,2.0,0.0,2.0
2010-01-02,1.0,0.0,245.0,4.0,1.0,0.0,4.0
2010-01-03,1.0,0.0,244.0,6.0,3.0,3.0,7.0
2010-01-04,1.0,0.0,246.0,5.0,0.0,0.0,8.0
2010-01-05,2.0,0.0,245.0,6.0,1.0,0.0,11.0
2010-01-06,1.0,0.0,245.0,5.0,1.0,2.0,8.0
2010-01-07,1.0,0.0,245.0,5.0,1.0,0.0,9.0
2010-01-08,1.0,0.0,244.0,5.0,0.0,1.0,9.0
2010-01-09,2.0,0.0,244.0,7.0,2.0,3.0,10.0
2010-01-10,2.0,0.0,244.0,7.0,2.0,1.0,10.0
2010-01-11,1.0,0.0,246.0,4.0,1.0,0.0,7.0
2010-01-12,1.0,0.0,245.0,6.0,1.0,3.0,9.0
2010-01-13,1.0,0.0,245.0,6.0,1.0,3.0,9.0
2010-01-14,1.0,0.0,245.0,6.0,2.0,3.0,9.0
2010-01-15,2.0,0.0,244.0,6.0,1.0,2.0,9.0
2010-01-16,1.0,0.0,243.0,6.0,2.0,2.0,9.0
2010-01-17,1.0,0.0,243.0,6.0,1.0,0.0,10.0
2010-01-18,1.0,0.0,244.0,5.0,0.0,0.0,9.0
2010-01-19,2.0,0.0,243.0,7.0,1.0,0.0,13.0
2010-01-20,2.0,0.0,243.0,7.0,2.0,2.0,10.0
2010-01-21,1.0,0.0,243.0,6.0,1.0,0.0,11.0
2010-01-22,1.0,0.0,242.0,5.0,0.0,0.0,10.0
2010-01-23,2.0,0.0,241.0,8.0,2.0,3.0,11.0
2010-01-24,2.0,0.0,242.0,7.0,2.0,2.0,8.0
2010-01-25,1.0,0.0,243.0,6.0,1.0,0.0,11.0
2010-01-26,1.0,0.0,243.0,6.0,0.0,0.0,11.0
2010-01-27,2.0,0.0,242.0,8.0,1.0,4.0,13.0
2010-01-28,1.0,0.0,243.0,6.0,1.0,0.0,10.0
2010-01-29,1.0,0.0,244.0,6.0,1.0,1.0,13.0
2010-01-30,2.0,0.0,242.0,8.0,2.0,5.0,12.0
2010-01-31,1.0,0.0,243.0,5.0,1.0,1.0,9.0
2010-02-01,1.0,0.0,244.0,5.0,1.0,0.0,10.0
2010-02-02,1.0,0.0,243.0,6.0,0.0,0.0,15.0
2010-02-03,2.0,0.0,242.0,8.0,2.0,6.0,15.0
2010-02-04,2.0,0.0,242.0,7.0,1.0,0.0,16.0
2010-02-05,1.0,0.0,242.0,6.0,1.0,0.0,13.0
2010-02-06,2.0,0.0,241.0,8.0,3.0,2.0,12.0
2010-02-07,1.0,0.0,243.0,5.0,2.0,3.0,4.0
2010-02-08,2.0,0.0,242.0,7.0,1.0,0.0,14.0
2010-02-09,2.0,0.0,243.0,7.0,1.0,0.0,14.0
2010-02-10,1.0,0.0,242.0,6.0,1.0,2.0,8.0
2010-02-11,1.0,0.0,245.0,4.0,0.0,0.0,7.0
2010-02-12,1.0,0.0,244.0,5.0,1.0,0.0,11.0
2010-02-13,2.0,0.0,243.0,7.0,1.0,4.0,13.0
2010-02-14,1.0,0.0,243.0,5.0,1.0,0.0,9.0
2010-02-15,1.0,0.0,243.0,6.0,2.0,0.0,11.0
2010-02-16,1.0,0.0,244.0,5.0,1.0,0.0,9.0
2010-02-17,1.0,0.0,242.0,6.0,2.0,5.0,7.0
2010-02-18,1.0,0.0,244.0,5.0,1.0,0.0,10.0
2010-02-19,1.0,0.0,242.0,6.0,1.0,0.0,10.0
2010-02-20,1.0,0.0,242.0,6.0,3.0,0.0,10.0
2010-02-21,2.0,0.0,241.0,8.0,4.0,6.0,12.0
2010-02-22,1.0,0.0,241.0,4.0,1.0,2.0,7.0
2010-02-23,1.0,0.0,242.0,4.0,0.0,2.0,6.0
2010-02-24,1.0,0.0,241.0,6.0,2.0,1.0,10.0
2010-02-25,1.0,0.0,241.0,5.0,0.0,0.0,10.0
2010-02-26,1.0,0.0,240.0,6.0,1.0,2.0,10.0
2010-02-27,1.0,0.0,242.0,5.0,3.0,0.0,10.0
2010-02-28,0.0,0.0,243.0,2.0,0.0,0.0,2.0
2010-03-01,1.0,0.0,242.0,4.0,1.0,0.0,5.0
2010-03-02,1.0,0.0,242.0,2.0,0.0,0.0,3.0
2010-03-03,1.0,0.0,241.0,3.0,0.0,0.0,5.0
2010-03-04,0.0,0.0,243.0,2.0,0.0,0.0,2.0
2010-03-05,1.0,0.0,243.0,3.0,1.0,0.0,4.0
2010-03-06,1.0,0.0,243.0,2.0,0.0,0.0,3.0
2010-03-07,1.0,0.0,244.0,4.0,0.0,3.0,3.0
2010-03-08,2.0,0.0,244.0,7.0,3.0,5.0,11.0
2010-03-09,1.0,0.0,244.0,5.0,1.0,0.0,8.0
2010-03-10,1.0,0.0,244.0,5.0,1.0,0.0,10.0
2010-03-11,1.0,0.0,243.0,6.0,1.0,0.0,11.0
2010-03-12,1.0,0.0,243.0,5.0,1.0,0.0,10.0
2010-03-13,2.0,0.0,242.0,7.0,2.0,4.0,12.0
2010-03-14,1.0,0.0,242.0,5.0,2.0,1.0,5.0
2010-03-15,1.0,0.0,242.0,5.0,1.0,0.0,10.0
2010-03-16,1.0,0.0,242.0,4.0,0.0,0.0,7.0
2010-03-17,1.0,0.0,242.0,6.0,1.0,4.0,9.0
2010-03-18,1.0,0.0,242.0,5.0,1.0,0.0,8.0
2010-03-19,1.0,0.0,241.0,5.0,0.0,0.0,9.0
2010-03-20,1.0,0.0,241.0,5.0,0.0,0.0,9.0
2010-03-21,1.0,0.0,241.0,5.0,1.0,2.0,9.0
2010-03-22,1.0,0.0,241.0,5.0,1.0,0.0,10.0
2010-03-23,1.0,0.0,241.0,5.0,2.0,1.0,9.0
2010-03-24,1.0,0.0,241.0,6.0,1.0,4.0,9.0
2010-03-25,1.0,0.0,242.0,5.0,0.0,0.0,10.0
2010-03-26,1.0,0.0,242.0,5.0,1.0,0.0,9.0
2010-03-27,1.0,0.0,240.0,5.0,1.0,2.0,9.0
2010-03-28,1.0,0.0,241.0,5.0,1.0,5.0,5.0
2010-03-29,1.0,0.0,242.0,5.0,0.0,0.0,11.0
2010-03-30,1.0,0.0,241.0,6.0,1.0,0.0,10.0
2010-03-31,1.0,0.0,240.0,6.0,1.0,4.0,8.0
2010-04-01,1.0,0.0,242.0,5.0,1.0,0.0,10.0
2010-04-02,1.0,0.0,243.0,5.0,0.0,0.0,9.0
2010-04-03,1.0,0.0,243.0,5.0,1.0,0.0,12.0
2010-04-04,1.0,0.0,242.0,5.0,1.0,1.0,9.0
2010-04-05,1.0,0.0,244.0,3.0,1.0,1.0,4.0
2010-04-06,1.0,0.0,243.0,5.0,1.0,0.0,9.0
2010-04-07,1.0,0.0,242.0,5.0,1.0,2.0,8.0
2010-04-08,1.0,0.0,242.0,5.0,0.0,0.0,9.0
2010-04-09,1.0,0.0,243.0,4.0,1.0,0.0,7.0
2010-04-10,1.0,0.0,241.0,3.0,1.0,1.0,6.0
2010-04-11,1.0,0.0,241.0,5.0,4.0,0.0,6.0
2010-04-12,1.0,0.0,242.0,4.0,0.0,0.0,8.0
2010-04-13,1.0,0.0,242.0,4.0,1.0,0.0,9.0
2010-04-14,1.0,0.0,241.0,5.0,1.0,4.0,6.0
2010-04-15,1.0,0.0,241.0,5.0,2.0,0.0,11.0
2010-04-16,1.0,0.0,242.0,5.0,2.0,0.0,9.0
2010-04-17,1.0,0.0,241.0,5.0,0.0,2.0,9.0
2010-04-18,1.0,0.0,241.0,4.0,1.0,0.0,9.0
2010-04-19,1.0,0.0,241.0,5.0,1.0,3.0,9.0
2010-04-20,1.0,0.0,241.0,5.0,1.0,0.0,12.0
2010-04-21,1.0,0.0,242.0,5.0,0.0,0.0,9.0
2010-04-22,1.0,0.0,241.0,4.0,1.0,0.0,9.0
2010-04-23,1.0,0.0,242.0,3.0,0.0,0.0,8.0
2010-04-24,1.0,0.0,242.0,5.0,3.0,1.0,6.0
2010-04-25,1.0,0.0,241.0,5.0,0.0,2.0,5.0
2010-04-26,1.0,0.0,241.0,3.0,1.0,0.0,5.0
2010-04-27,1.0,0.0,242.0,4.0,0.0,0.0,6.0
2010-04-28,1.0,0.0,243.0,3.0,0.0,0.0,4.0
2010-04-29,1.0,0.0,242.0,3.0,0.0,0.0,6.0
2010-04-30,1.0,0.0,242.0,3.0,2.0,0.0,5.0
2010-05-01,1.0,0.0,241.0,4.0,1.0,3.0,5.0
2010-05-02,2.0,0.0,240.0,6.0,1.0,6.0,10.0
2010-05-03,1.0,0.0,237.0,4.0,1.0,0.0,8.0
2010-05-04,1.0,0.0,236.0,5.0,0.0,1.0,8.0
2010-05-05,1.0,0.0,236.0,5.0,2.0,2.0,8.0
2010-05-06,1.0,0.0,236.0,4.0,0.0,0.0,7.0
2010-05-07,1.0,0.0,237.0,5.0,1.0,0.0,9.0
2010-05-08,1.0,0.0,242.0,4.0,2.0,2.0,7.0
2010-05-09,1.0,0.0,241.0,5.0,2.0,2.0,7.0
2010-05-10,1.0,0.0,241.0,4.0,0.0,0.0,9.0
2010-05-11,1.0,0.0,242.0,5.0,1.0,0.0,8.0
2010-05-12,1.0,0.0,242.0,6.0,1.0,3.0,11.0
2010-05-13,1.0,0.0,243.0,4.0,1.0,1.0,7.0
2010-05-14,1.0,0.0,242.0,5.0,1.0,0.0,12.0
2010-05-15,1.0,0.0,242.0,6.0,2.0,0.0,9.0
2010-05-16,1.0,0.0,241.0,6.0,2.0,3.0,8.0
2010-05-17,1.0,0.0,241.0,5.0,1.0,0.0,11.0
2010-05-18,1.0,0.0,242.0,4.0,0.0,0.0,8.0
2010-05-19,1.0,0.0,242.0,4.0,1.0,0.0,7.0
2010-05-20,1.0,0.0,242.0,3.0,0.0,0.0,7.0
2010-05-21,1.0,0.0,242.0,4.0,1.0,0.0,7.0
2010-05-22,1.0,0.0,240.0,6.0,2.0,2.0,12.0
2010-05-23,1.0,0.0,241.0,4.0,1.0,0.0,7.0
2010-05-24,1.0,0.0,241.0,4.0,1.0,2.0,5.0
2010-05-25,1.0,0.0,240.0,4.0,0.0,0.0,7.0
2010-05-26,1.0,0.0,240.0,4.0,1.0,3.0,6.0
2010-05-27,1.0,0.0,240.0,4.0,1.0,0.0,7.0
2010-05-28,1.0,0.0,240.0,4.0,1.0,0.0,8.0
2010-05-29,1.0,0.0,240.0,6.0,3.0,0.0,12.0
2010-05-30,1.0,0.0,240.0,5.0,2.0,2.0,7.0
2010-05-31,1.0,0.0,241.0,4.0,1.0,2.0,7.0
2010-06-01,1.0,0.0,241.0,4.0,1.0,0.0,8.0
2010-06-02,1.0,0.0,240.0,3.0,0.0,0.0,6.0
2010-06-03,1.0,0.0,240.0,4.0,2.0,0.0,9.0
2010-06-04,1.0,0.0,240.0,4.0,1.0,0.0,9.0
2010-06-05,1.0,0.0,241.0,6.0,8.0,1.0,8.0
2010-06-06,1.0,0.0,241.0,5.0,5.0,0.0,8.0
2010-06-07,1.0,0.0,242.0,3.0,1.0,0.0,5.0
2010-06-08,1.0,0.0,241.0,4.0,1.0,1.0,8.0
2010-06-09,1.0,0.0,241.0,5.0,2.0,3.0,6.0
2010-06-10,1.0,0.0,242.0,4.0,0.0,0.0,8.0
2010-06-11,1.0,0.0,241.0,4.0,2.0,0.0,8.0
2010-06-12,1.0,0.0,240.0,6.0,2.0,3.0,11.0
2010-06-13,1.0,0.0,241.0,5.0,3.0,2.0,6.0
2010-06-14,1.0,0.0,242.0,4.0,1.0,0.0,7.0
2010-06-15,1.0,0.0,241.0,4.0,0.0,0.0,7.0
2010-06-16,1.0,0.0,241.0,5.0,1.0,3.0,7.0
2010-06-17,1.0,0.0,240.0,3.0,0.0,0.0,6.0
2010-06-18,1.0,0.0,241.0,4.0,1.0,0.0,8.0
2010-06-19,1.0,0.0,242.0,4.0,2.0,1.0,7.0
2010-06-20,1.0,0.0,240.0,5.0,1.0,3.0,9.0
2010-06-21,1.0,0.0,241.0,5.0,3.0,2.0,8.0
2010-06-22,1.0,0.0,241.0,5.0,1.0,4.0,6.0
2010-06-23,1.0,0.0,240.0,4.0,4.0,1.0,7.0
2010-06-24,1.0,0.0,241.0,3.0,1.0,1.0,6.0
2010-06-25,1.0,0.0,241.0,3.0,0.0,0.0,7.0
2010-06-26,1.0,0.0,241.0,3.0,1.0,1.0,6.0
2010-06-27,1.0,0.0,240.0,3.0,2.0,1.0,5.0
2010-06-28,1.0,0.0,240.0,4.0,0.0,1.0,9.0
2010-06-29,1.0,0.0,240.0,4.0,1.0,1.0,6.0
2010-06-30,1.0,0.0,241.0,4.0,0.0,1.0,4.0
2010-07-01,1.0,0.0,239.0,4.0,1.0,1.0,5.0
2010-07-02,1.0,0.0,240.0,3.0,1.0,1.0,4.0
2010-07-03,1.0,0.0,241.0,3.0,0.0,1.0,4.0
2010-07-04,1.0,0.0,240.0,5.0,1.0,1.0,5.0
2010-07-05,1.0,0.0,241.0,3.0,1.0,1.0,5.0
2010-07-06,1.0,0.0,241.0,3.0,0.0,1.0,6.0
2010-07-07,1.0,0.0,241.0,3.0,1.0,1.0,4.0
2010-07-08,1.0,0.0,240.0,4.0,1.0,1.0,6.0
2010-07-09,1.0,0.0,241.0,3.0,0.0,0.0,4.0
2010-07-10,1.0,0.0,240.0,4.0,1.0,1.0,6.0
2010-07-11,1.0,0.0,240.0,4.0,1.0,0.0,5.0
2010-07-12,1.0,0.0,240.0,3.0,1.0,0.0,4.0
2010-07-13,1.0,0.0,240.0,4.0,2.0,2.0,5.0
2010-07-14,1.0,0.0,240.0,4.0,1.0,0.0,5.0
2010-07-15,1.0,0.0,240.0,5.0,1.0,2.0,6.0
2010-07-16,1.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-07-17,1.0,0.0,241.0,2.0,0.0,0.0,4.0
2010-07-18,1.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-07-19,1.0,0.0,242.0,2.0,0.0,0.0,4.0
2010-07-20,1.0,0.0,242.0,3.0,0.0,0.0,4.0
2010-07-21,1.0,0.0,242.0,3.0,1.0,0.0,4.0
2010-07-22,1.0,0.0,241.0,4.0,0.0,1.0,4.0
2010-07-23,1.0,0.0,240.0,4.0,1.0,1.0,6.0
2010-07-24,1.0,0.0,240.0,3.0,0.0,1.0,3.0
2010-07-25,1.0,0.0,240.0,3.0,0.0,3.0,5.0
2010-07-26,1.0,0.0,241.0,3.0,0.0,2.0,3.0
2010-07-27,1.0,0.0,240.0,3.0,1.0,0.0,3.0
2010-07-28,1.0,0.0,240.0,3.0,1.0,0.0,5.0
2010-07-29,0.0,0.0,240.0,2.0,0.0,0.0,3.0
2010-07-30,0.0,0.0,240.0,2.0,0.0,0.0,3.0
2010-07-31,0.0,0.0,240.0,2.0,0.0,0.0,3.0
2010-08-01,0.0,0.0,240.0,2.0,0.0,0.0,3.0
2010-08-02,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-08-03,0.0,0.0,242.0,2.0,0.0,0.0,3.0
2010-08-04,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-08-05,0.0,0.0,242.0,2.0,0.0,0.0,3.0
2010-08-06,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-08-07,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-08-08,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-08-09,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-08-10,0.0,0.0,242.0,2.0,0.0,0.0,3.0
2010-08-11,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-08-12,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-08-13,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2010-08-14,0.0,0.0,241.0,2.0,0.0,0.0,3.0
